originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
DRIED ACANTHUS,Threaded Dried Acanthus,Threaded Dried Acanthus (DRIED ACANTHUS),Unlock: crafted | Location: Organ Grinder | Source: Settlement | Cost: 1 Bone,Base Game,Organ Grinder,Settlement,tool,tool,consumable,0,"Tool, Survival, Retreat","Threaded Dried Acanthus Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"One-use effect for a difficult hunt, retreat, condition clear, or risky power spike.",Retreat,Uses consumable weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Organ Grinder.pdf,verified
ELDER EARRINGS,Elder EarHookeds,Elder EarHookeds (ELDER EARRINGS),"Unlock: crafted, quarryDiscovery | Location: Barber Surgeon | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Barber Surgeon,Spidicules,charm,charm,charm,0,"Charm, Passive, Survival, Web","Elder EarHookeds Gleam — Cost 0 Skill. [Exhaust] Trigger this charm's keyword effect: If this survivor spent Survival this turn, gain +2 damage or +2 block as appropriate.. Exhaust.",,,,"Charm: once per combat, when its keyword condition triggers, gain +1 Survival or improve a related preview by +1.",Web,Uses charm weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Barber Surgeon.pdf; References - PDF/Community Edition 2.0/KDM - Barber Surgeon (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Barber Surgeon (SIP).pdf,verified
ELDER FANG KNIFE,Mourning Elder Fang Knife,Mourning Elder Fang Knife (ELDER FANG KNIFE),"Unlock: crafted, quarryDiscovery | Location: Catarium | Source: White Lion | Cost: 1 Pale Lion Hide; 1 Pale Lion Sinew",Fen's Fan Expansions / Fen's Dagger Emporium,Catarium,White Lion,weapon,weapon,dagger,1,"Quick, Precise, Harvest, Predator","Mourning Elder Fang Feint — Cost 0 Attack. [Damage: 2; Break: 4; Status: Apply Marked] Deal 2 damage. If targeting a fragile weak point, deal +2 break damage. Apply Marked.","Mourning Elder Fang Carve — Cost 1 Attack. [Damage: 4; Break: 3] Deal 4 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If targeting a Head, Eye or Organ weak point, improve harvest quality one step on a break.","Mourning Elder Fang Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,Harvest,Uses dagger weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Catarium (Fen's Dagger Emporium).pdf,verified
EVENTIDE (HUNT PHASE),Blackglass Eventide (Hunt Phase),Blackglass Eventide (Hunt Phase) (EVENTIDE (HUNT PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Blackglass Eventide Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Blackglass Eventide Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
EVENTIDE (SHOWDOWN PHASE),Hollow Eventide (Showdown Phase),Hollow Eventide (Showdown Phase) (EVENTIDE (SHOWDOWN PHASE)),Unlock: crafted | Location: Hunting Hall | Cost: 1 Bone; 1 Sinew,Fen's Fan Expansions / Hunting Hall,Hunting Hall,,tool,tool,tool,0,"Tool, Harvest, Retreat",Hollow Eventide Showdown Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Hollow Eventide Showdown Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Hunting Hall/KDM - Hunting Hall.pdf,verified
FANGED DUSTERS,Sable Fanged Dusters,Sable Fanged Dusters (FANGED DUSTERS),"Unlock: crafted, quarryDiscovery | Location: Stone Circle | Source: Screaming Antelope | Cost: 1 Wailing Horn; 1 Wailing Hide",Fen's Fan Expansions / Spidicules Intergration Package (SIP),Stone Circle,Screaming Antelope,tool,tool,tool,0,"Tool, Harvest, Retreat, Survival","Sable Fanged Dusters Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Stone Circle (SIP).pdf,verified
FEATHER MANTLE,Sable Feather Mantle,Sable Feather Mantle (FEATHER MANTLE),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather",Base Game; Community Edition 2.0,Plumery,Phoenix,tool,tool,tool,0,"Tool, Harvest, Retreat, Strange","Sable Feather Mantle Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Strange Focus: first Strange card each combat draws 1 and adds 1 Panic to discard; if Monster Bane matches, do not add Panic.","Harvest, Retreat, Strange",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Plumery.pdf; References - PDF/Community Edition 2.0/KDM - Plumery (CE 2.0).pdf; References - PDF/Community Edition 2.0/Variant/KDM - Plumery (CE 2.0) - Variant Armor Bonus.pdf,verified
FEATHER SHIELD,Feather Guard,Feather Guard (FEATHER SHIELD),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather; 1 Phoenix Ash",Base Game; Community Edition 2.0,Plumery,Phoenix,offhand,offhand,shield,1,"Defensive, Counter, Party, Strange",Feather Guard Raise — Cost 1 Skill. [Block: 8] Gain 8 block. Another party member gains 3 block before the next monster attack.,"Feather Guard Bash — Cost 1 Attack. [Damage: current block, cap 20] Deal damage equal to your current block, up to 20. Then lose half your block, rounded down.","Feather Guard Interpose — Cost 0 Skill. [Exhaust] Choose another survivor. The next time they would take damage this round, reduce it by 3. Exhaust.",,Shield Discipline: shield cards gain +2 block. Block-conversion damage is capped at 20.,"Party, Strange",Uses shield weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Plumery.pdf; References - PDF/Community Edition 2.0/KDM - Plumery (CE 2.0).pdf; References - PDF/Community Edition 2.0/Variant/KDM - Plumery (CE 2.0) - Variant Armor Bonus.pdf,verified
FECAL SALVE,Gutter Fecal Salve,Gutter Fecal Salve (FECAL SALVE),Unlock: crafted | Location: Organ Grinder | Source: Settlement | Cost: 1 Bone,Base Game,Organ Grinder,Settlement,tool,tool,bandage,0,"WoundCare, Support, Party",Gutter Fecal Salve Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Gutter Fecal Salve Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, Support, WoundCare",Uses bandage weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Organ Grinder.pdf,verified
FETOSAURUS,Stormbound Fetosaurus,Stormbound Fetosaurus (FETOSAURUS),"Unlock: crafted, quarryDiscovery | Location: Green Armor | Source: Green Armor | Cost: 1 Bone; 1 Hide; 1 Sinew",Expansions of Death,Green Armor,Green Armor,body,body,armor,0,"Defensive, Party, WoundCare",Stormbound Fetosaurus Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Stormbound Fetosaurus Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Expansions of Death/KDM - Green Armor.pdf,verified
FINGER OF GOD,Stormbound Finger Of God,Stormbound Finger Of God (FINGER OF GOD),Unlock: crafted | Location: Weapon Crafter | Source: Settlement | Cost: 1 Bone; 1 Sinew,Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium,Weapon Crafter,Settlement,tool,tool,tool,0,"Tool, Harvest, Retreat","Stormbound Finger God Salvage — Cost 0 Skill. [Exhaust] Before retreat or after a resource node, preserve 1 gathered resource from loss. Exhaust. Once per hunt.",,,,"Provides a special utility effect that should matter in hunt nodes, settlement events, or harvest choices.","Harvest, Retreat",Uses tool weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Weapon Crafter.pdf; References - PDF/Community Edition 2.0/KDM - Weapon Crafter (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Weapon Crafter (Fen's Dagger Emporium).pdf,verified
FIRST AID KIT,Moonless First Aid Kit,Moonless First Aid Kit (FIRST AID KIT),"Unlock: crafted, quarryDiscovery | Location: Barber Surgeon | Source: Spidicules | Cost: 1 Silk Gland; 1 Venom Sac",Base Game; Community Edition 2.0; Fen's Fan Expansions / Spidicules Intergration Package (SIP),Barber Surgeon,Spidicules,tool,tool,bandage,0,"WoundCare, Support, Party, Web",Moonless First Aid Call — Cost 1 Skill. [Block: 3] Choose another living survivor. They gain 1 Survival and 3 block before the next monster attack.,Moonless First Aid Dirge — Cost 0 Skill. [Status: Panic +1; Exhaust] Add 1 Panic to this survivor's discard. The next ally draws 1 at the start of their turn. Exhaust.,,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, Support, Web, WoundCare",Uses bandage weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Base Game/KDM - Barber Surgeon.pdf; References - PDF/Community Edition 2.0/KDM - Barber Surgeon (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Spidicules Intergration Package (SIP)/KDM - Barber Surgeon (SIP).pdf,verified
